            x_0            x_1
         0.5001      0.5981076
      0.5104168      0.5985206
      0.5203799      0.5997046
      0.5300863      0.6024436
      0.5397356      0.6056618
      0.5489303       0.610223
      0.5570267      0.6156811
       0.565237      0.6226315
      0.5727295       0.628761
      0.5788277      0.6363471
      0.5851145      0.6453112
      0.5902803      0.6542679
      0.5937753      0.6632773
      0.5971577      0.6734423
      0.5983968      0.6833148
      0.5996716      0.6931892
      0.5997217       0.702726
      0.5983468      0.7137005
      0.5965077      0.7232727
      0.5935479      0.7331365
       0.589808      0.7416485
      0.5853644       0.751404
      0.5786776      0.7592182
      0.5728293      0.7673043
      0.5652394      0.7744319
      0.5574247      0.7799354
      0.5486302      0.7856422
      0.5389856      0.7895534
      0.5296205      0.7938568
      0.5205036      0.7957148
      0.5102668      0.7972445
        0.50025      0.7985576
      0.4895866      0.7976961
      0.4802166      0.7958599
      0.4698137      0.7930215
      0.4602644      0.7903034
      0.4509718      0.7851936
      0.4431212      0.7797325
      0.4350127      0.7739334
      0.4279201      0.7666546
      0.4208722      0.7594183
      0.4150857      0.7505039
      0.4099691      0.7420972
      0.4057797      0.7325565
      0.4029365      0.7236046
      0.4010032      0.7135003
      0.3996784      0.7036225
      0.4003284      0.6927926
      0.4013032      0.6829147
      0.4033423      0.6733924
      0.4062248      0.6636771
      0.4103108      0.6540134
      0.4155794      0.6449087
      0.4210228       0.636846
      0.4277707      0.6291109
      0.4349628      0.6218318
        0.44336        0.61549
       0.451183      0.6102641
      0.4604644      0.6058118
      0.4699637      0.6026936
      0.4794701      0.6003542
      0.4896332      0.5981706
      0.5002441      0.6084214
      0.5099814      0.6084718
       0.519927      0.6107642
       0.529325       0.613508
      0.5391993      0.6172203
      0.5476331      0.6219525
       0.556614      0.6280927
      0.5641302      0.6346064
      0.5700743      0.6419051
      0.5765551      0.6498747
      0.5809939      0.6595045
      0.5847998      0.6685328
      0.5873456      0.6781772
      0.5890846      0.6876329
         0.5899      0.6979576
      0.5891841      0.7076344
      0.5875435      0.7181345
      0.5847996      0.7278826
      0.5810388       0.736958
      0.5761143      0.7454957
      0.5699159      0.7543224
      0.5636895      0.7621473
      0.5560142      0.7683223
       0.547884      0.7744121
      0.5394484      0.7789954
      0.5299751      0.7826571
      0.5197476      0.7862605
      0.5103982      0.7871927
         0.5001      0.7885576
      0.4896733      0.7879908
      0.4798307      0.7858034
      0.4707673      0.7830548
      0.4614005      0.7788448
      0.4516699      0.7740148
      0.4439831      0.7683703
      0.4362109      0.7617469
      0.4291854      0.7544715
      0.4237947      0.7459405
      0.4185133      0.7376069
      0.4145514      0.7281825
      0.4119565      0.7183345
      0.4100659      0.7079351
         0.4102      0.6983068
      0.4106155      0.6877326
      0.4125068      0.6783292
      0.4147006      0.6688321
      0.4186216      0.6585128
      0.4237492      0.6497797
      0.4293866      0.6419419
      0.4362604       0.634668
      0.4443123      0.6278588
      0.4517898      0.6222352
      0.4607505      0.6171204
      0.4700249      0.6129081
      0.4800223      0.6100646
      0.4895741      0.6087734
      0.5004012      0.6176954
      0.5105267      0.6187384
      0.5202451      0.6205708
      0.5296992      0.6237251
       0.538191      0.6282534
      0.5469228      0.6331862
      0.5550637        0.64009
      0.5615423      0.6475109
      0.5673537      0.6553811
      0.5724319       0.663602
      0.5757845      0.6735862
      0.5790305       0.682968
      0.5795921      0.6926848
      0.5800921      0.7033808
      0.5784383      0.7134283
      0.5760299      0.7224984
      0.5728845      0.7319191
      0.5677378      0.7411177
       0.561939      0.7489519
      0.5543637      0.7567252
      0.5466729      0.7627788
      0.5381408      0.7685121
      0.5292012      0.7724396
      0.5200936      0.7754948
      0.5095824      0.7771264
      0.5000958       0.777808
      0.4904218      0.7774267
      0.4801548      0.7751442
      0.4706068      0.7721925
       0.461853      0.7685593
      0.4525295      0.7624818
      0.4448335      0.7568231
      0.4383589      0.7493514
      0.4325537      0.7405736
      0.4271639        0.73232
      0.4242217      0.7224003
       0.420967      0.7125483
      0.4206079      0.7028806
      0.4200579      0.6930344
       0.421717      0.6830171
      0.4241655      0.6730862
      0.4277138      0.6640453
      0.4326038      0.6547914
       0.438507      0.6467147
      0.4450376      0.6396886
      0.4525281      0.6331872
      0.4615008      0.6276065
      0.4703089       0.624172
      0.4804201      0.6208243
      0.4896075      0.6190741
      0.4999001      0.6285076
      0.5105921      0.6286535
      0.5200669      0.6313755
      0.5293619      0.6344762
      0.5388237      0.6394777
      0.5468623      0.6464235
      0.5543023      0.6537809
      0.5601931      0.6615509
      0.5646742      0.6706302
      0.5680738      0.6807516
      0.5693801      0.6903022
      0.5695533      0.7008643
      0.5687856       0.710622
      0.5662516      0.7211566
       0.561903      0.7296675
      0.5566814      0.7389383
      0.5500932      0.7461929
      0.5429822      0.7535623
      0.5347092      0.7594508
      0.5254061      0.7634384
      0.5147202      0.7662829
      0.5049597      0.7683708
      0.4946403      0.7675208
      0.4846301      0.7658839
       0.475144      0.7629888
      0.4661405       0.759451
      0.4571683      0.7539616
      0.4496568      0.7469428
      0.4428697      0.7392377
      0.4378962      0.7299145
      0.4333928      0.7210379
      0.4316644      0.7103721
      0.4304967      0.7007142
      0.4306199      0.6906516
      0.4321761      0.6803022
      0.4351758      0.6706302
      0.4405985      0.6614917
      0.4459952      0.6528809
      0.4532377      0.6460735
      0.4608763      0.6392277
       0.470488      0.6350762
      0.4801823      0.6305287
      0.4900592      0.6286613
      0.5001992      0.6385566
      0.5098408      0.6387206
      0.5197884       0.641085
      0.5289117      0.6453767
      0.5374432      0.6508754
      0.5453301      0.6588545
       0.551252      0.6661618
      0.5555731      0.6758856
      0.5586535      0.6850174
      0.5594959      0.6958612
       0.559214      0.7056786
        0.55732      0.7152269
      0.5535751      0.7246196
      0.5487387      0.7335348
      0.5410663       0.741525
      0.5336485      0.7480681
      0.5247141      0.7529813
      0.5147058      0.7563168
      0.5054513      0.7574962
      0.4952107      0.7574467
      0.4845512      0.7560778
      0.4757158      0.7529241
      0.4664515      0.7474681
      0.4583337       0.741825
      0.4516101      0.7335355
      0.4466745      0.7250199
      0.4428797       0.715227
       0.440586      0.7053786
      0.4397041      0.6954611
      0.4413464      0.6851176
      0.4448258      0.6761344
       0.449306      0.6665507
      0.4551585      0.6589134
      0.4618568      0.6513254
      0.4703383      0.6460267
      0.4799616      0.6411349
        0.48966      0.6386706
      0.5003492      0.6483049
      0.5100657      0.6486811
      0.5198675      0.6523595
      0.5284636      0.6568194
      0.5357898      0.6632094
      0.5423322      0.6717594
      0.5466876      0.6807423
      0.5489234      0.6906862
      0.5500859      0.7010898
      0.5484538      0.7106404
      0.5447403      0.7196774
       0.539439      0.7284631
      0.5326186      0.7358955
      0.5238671      0.7421742
      0.5149162      0.7455653
      0.5046944      0.7475498
      0.4953564       0.747797
      0.4847818      0.7458645
      0.4753348      0.7419748
      0.4678315      0.7356956
      0.4607612      0.7283129
      0.4553589      0.7195875
      0.4516928      0.7108321
      0.4501642        0.70029
       0.450721      0.6901062
      0.4532689      0.6810738
      0.4572686      0.6720593
      0.4634132      0.6637608
      0.4711366      0.6566694
      0.4802822      0.6522597
      0.4898351      0.6491311
        0.50035       0.657861
      0.5103977      0.6588643
      0.5195701      0.6625553
      0.5276315      0.6689483
      0.5335235       0.676575
      0.5382384      0.6860739
      0.5397749       0.695319
      0.5394493      0.7059825
      0.5360886       0.714753
