      t = 0.010000
      m = 0.078524
         n            rho            x_0            x_1            v_0            v_1            a_0            a_1
         0       999.8042         0.5001      0.5995595   2.912887e-11     -0.0976095              0          -9.81
         1       999.8046      0.5104168      0.5999726    5.00491e-07    -0.09760934   9.256357e-05      -9.810001
         2       999.8042      0.5203799      0.6011565   4.536081e-12     -0.0976095              0          -9.81
         3       999.8042      0.5300863      0.6038956              0     -0.0976095              0          -9.81
         4       999.8042      0.5397356      0.6071137              0     -0.0976095              0          -9.81
         5       999.9049      0.5489302      0.6116749   6.345393e-06    -0.09760522   0.0006258107      -9.809578
         6       999.9049      0.5570268      0.6171331  -6.360692e-06    -0.09761379  -0.0006258107      -9.810422
         7       1000.054      0.5652372      0.6240836  -1.456661e-05    -0.09762144   -0.001433844      -9.811179
         8         1000.2      0.5727293      0.6302128   9.594773e-06    -0.09760368   0.0009215992      -9.809442
         9       999.9498      0.5788276      0.6377989   5.074293e-06    -0.09760327   0.0005122444      -9.809379
        10       1000.011      0.5851144      0.6467631   1.250018e-06    -0.09761015     0.00012176      -9.810065
        11       1000.095      0.5902804        0.65572  -5.578046e-06    -0.09762388  -0.0005449706      -9.811405
        12       1000.095      0.5937752       0.664729   5.601292e-06    -0.09759506   0.0005449706      -9.808595
        13       999.8052      0.5971577      0.6748942   8.136616e-08    -0.09760883    9.00357e-06      -9.809928
        14       999.8057      0.5983968      0.6847667  -1.426956e-07    -0.09761098   -1.53905e-05      -9.810191
        15       1000.569      0.5996716      0.6946437  -8.819647e-07    -0.09778817  -8.312478e-05      -9.826894
        16       1000.569      0.5997217      0.7041753   9.439572e-07    -0.09743007   8.951171e-05      -9.792986
        17       999.9281      0.5983468      0.7151523  -1.216087e-06     -0.0976032  -0.0001234561      -9.809357
        18       999.9281      0.5965077      0.7247247   1.253327e-06    -0.09761603   0.0001234561      -9.810643
        19       1003.205      0.5935318      0.7346251    0.001235809     -0.1004212     0.09859092      -10.03421
        20       1003.207       0.589824      0.7430638   -0.001223529    -0.09480161    -0.09707645      -9.586946
        21       999.8042      0.5853644      0.7528559              0     -0.0976095              0          -9.81
        22       999.8042      0.5786776      0.7606701  -5.998244e-08    -0.09760938  -7.312177e-06       -9.80999
        23       999.8042      0.5728293      0.7687562   7.253426e-08     -0.0976096   7.312177e-06       -9.81001
        24       1000.466      0.5652378      0.7758849   0.0001088457    -0.09768616     0.01037274      -9.817305
        25       1000.466      0.5574263      0.7813862  -0.0001088067    -0.09753288    -0.01037274      -9.802695
        26       999.8042      0.5486302      0.7870942              0     -0.0976095              0          -9.81
        27       999.8042      0.5389856      0.7910053  -2.395593e-09     -0.0976095              0          -9.81
        28       1003.623      0.5295615      0.7953187    0.004668707    -0.09845295      0.3461875      -9.863109
        29       1005.026      0.5205564      0.7971286       -0.00429    -0.09461295     -0.2975343      -9.586071
        30       999.8042      0.5102668      0.7986964   -2.45565e-09     -0.0976095              0          -9.81
        31       999.8042        0.50025      0.8000095   6.704837e-09     -0.0976095              0          -9.81
        32       1000.716      0.4895841      0.7991468   0.0001790545    -0.09752936     0.01672049      -9.802468
        33       1000.517      0.4802192      0.7973123  -0.0001821029    -0.09764415    -0.01728449      -9.813185
        34        999.807      0.4698137      0.7944734  -1.456715e-06    -0.09760992  -0.0001400016       -9.81004
        35        999.807      0.4602644      0.7917553   1.395577e-06     -0.0976091   0.0001400016       -9.80996
        36       1000.443      0.4509703      0.7866445   0.0001016204    -0.09753882    0.009677415      -9.803268
        37       1000.443      0.4431227      0.7811855  -0.0001011486    -0.09767986   -0.009634708      -9.816702
        38       999.8044      0.4350128      0.7753853  -2.738528e-07    -0.09760969  -4.270724e-05       -9.81003
        39       1000.177      0.4279206      0.7681063  -2.959577e-05    -0.09759199   -0.002876195        -9.8083
        40        1000.07      0.4208724      0.7608701  -9.221069e-06    -0.09760401  -0.0008984916      -9.809465
